"","postcode","lat","lon","suburb","state"
"1",200,-35.277272,149.117136,"AUSTRALIAN NATIONAL UNIVERSITY","ACT"
"2",221,-35.201372,149.095065,"BARTON","ACT"
"3",800,-12.801028,130.955789,"DARWIN","NT"
"4",801,-12.801028,130.955789,"DARWIN","NT"
"5",804,-12.432181,130.84331,"PARAP","NT"
"6",810,-12.3769669230769,130.873471923077,"ALAWA,
BRINKIN,
CASUARINA,
JINGILI,
LEE POINT,
MILLNER,
MOIL,
NAKARA,
NIGHTCLIFF,
RAPID CREEK,
TIWI,
WAGAMAN,
WANGURI","NT"
"7",811,-12.376597,130.850489,"CASUARINA","NT"
"8",812,-12.3901252,130.8997682,"KARAMA,
LEANYER,
MALAK,
MARRARA,
WULAGI","NT"
"9",814,-12.382572,130.853877,"NIGHTCLIFF","NT"
"10",820,-12.435934,130.8490258,"BAGOT,
BAYVIEW,
CHARLES DARWIN,
COONAWARRA,
CULLEN BAY,
EAST POINT,
FANNIE BAY,
LARRAKEYAH,
LUDMILLA,
PARAP,
STUART PARK,
THE GARDENS,
THE NARROWS,
WINNELLIE,
WOOLNER","NT"
"11",821,-12.426641,130.882367,"WINNELLIE","NT"
"12",822,-13.192753,131.483803708333,"ACACIA HILLS,
BEES CREEK,
COX PENINSULA,
DALY RIVER,
FLEMING,
GUNN POINT,
LAMBELLS LAGOON,
LIVINGSTONE,
MANINGRIDA,
MARRAKAI,
MCMINNS LAGOON,
MIDDLE POINT,
MILIKAPITI,
NGUIU,
OENPELLI,
POINT STEPHENS,
PULARUMPI,
SOUTHPORT,
UMBAKUMBA,
WADEYE,
WAGAIT BEACH,","NT"
"13",828,-12.4508605,130.9207595,"BERRIMAH,
KNUCKEY LAGOON","NT"
"14",829,-14.460879,132.280002,"HOLTZE","NT"
"15",830,-12.435425,131.5380182,"DRIVER,
DURACK,
FARRAR,
GRAY,
MARLOW LAGOON,
MOULDEN,
PALMERSTON,
SHOAL BAY,
WOODROFFE,
YARRAWONGA","NT"
"16",831,-12.480066,130.984006,"PALMERSTON","NT"
"17",832,-12.48914825,130.9511475,"GUNN,
MITCHELL,
ROSEBERY,
ROSEBERY HEIGHTS","NT"
"18",835,-12.513503,131.0292205,"HOWARD SPRINGS,
VIRGINIA","NT"
"19",836,-13.4942235,131.691955,"GIRRAWEEN,
HERBERT","NT"
"20",837,-12.460094,130.842663,"MANTON","NT"
"21",838,-12.709507,130.995407,"BERRY SPRINGS","NT"
"22",840,-12.7462643333333,130.467941666667,"DUNDEE BEACH,
DUNDEE DOWNS,
DUNDEE FOREST","NT"
"23",841,-12.801028,130.955789,"DARWIN RIVER","NT"
"24",845,-13.038663,131.072091,"BATCHELOR","NT"
"25",846,-13.226806,131.098416,"ADELAIDE RIVER","NT"
"26",847,-13.824123,131.835799,"PINE CREEK","NT"
"27",850,-14.464497,132.262021,"KATHERINE","NT"
"28",851,-14.464497,132.262021,"KATHERINE","NT"
"29",852,-15.609121875,132.181995875,"BESWICK,
DALY WATERS,
KATHERINE,
LAJAMANU,
LARRIMAH,
MANBULLOO,
NUMBULWAR,
WAVE HILL","NT"
"30",854,-16.81839,137.14707,"BORROLOOLA","NT"
"31",860,-19.648306,134.186642,"TENNANT CREEK","NT"
"32",861,-19.296183,134.2525075,"BRUNCHILLY,
TENNANT CREEK","NT"
"33",862,-19.6442121,134.8284464,"AVON DOWNS,
CRESSWELL DOWNS,
ELLIOTT,
HELEN SPRINGS,
MUCKATY STATION,
NEWCASTLE WATERS,
RENNER SPRINGS,
TENNANT CREEK,
WARREGO,
WOLLOGORANG STATION","NT"
"34",870,-12.436101,130.84059,"ALICE SPRINGS","NT"
"35",871,-12.436101,130.84059,"ALICE SPRINGS","NT"
"36",872,-20.309742,131.907703058824,"ALI CURUNG,
ALICE SPRINGS,
AMATA,
AMOONGUNA,
AREYONGA,
ERLDUNDA,
FINKE,
GIBSON DESERT NORTH,
HAASTS BLUFF,
KINTORE,
SANTA TERESA,
TI TREE,
ULURU,
WILLOWRA,
YUELAMU,
YUENDUMU,
YULARA","NT"
"37",880,-12.281137,133.82784,"GOVE,
NHULUNBUY","NT"
"38",881,-12.18421,136.783889,"NHULUNBUY","NT"
"39",886,-12.381028,130.893097,"JABIRU","NT"
"40",906,-12.426641,130.882367,"WINNELLIE","NT"
"41",907,-12.426641,130.882367,"WINNELLIE","NT"
"42",1001,-33.794883,151.268071,"SYDNEY","NSW"
